Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,slot,BestFoot,Overall,pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,formation
Atletico Madrid,13,Jan,Oblak,Slovenia,188,87,GK,GK,1,Right,88,48,42,53,20,11,11,59,12,13,11,32,67,13,14,43,40,13,51,64,85,48,12,30,68,20,24,15,27,14,18,57,72,42,78,36,85,85,90,78,86,87,"3-5-2"
Atletico Madrid,2,Jose Maria,Gimenez,Uruguay,185,79,CB,,2,Right,83,73,68,77,43,25,37,73,48,34,40,54,46,47,44,75,72,37,66,60,78,57,55,70,75,85,84,82,87,85,85,83,87,71,85,87,10,9,11,7,10,15,"3-5-2"
Atletico Madrid,24,Robin,Le Normand,Spain,187,80,CB,,3,Right,83,65,60,69,30,21,22,45,22,38,34,50,48,35,25,81,74,34,67,54,83,62,55,74,73,84,83,85,84,86,82,80,86,70,86,76,12,9,13,14,15,10,"3-5-2"
Atletico Madrid,3,David,Hancko,Slovakia,188,82,CB,LB,4,Left,83,77,76,77,65,69,63,76,68,42,69,70,68,66,72,80,76,60,73,73,84,55,73,78,77,82,80,82,83,82,83,81,85,74,87,77,11,14,12,6,7,14,"3-5-2"
Atletico Madrid,14,Marcos,Llorente,Spain,184,74,RB,CM,5,Right,84,89,87,91,76,79,80,84,79,66,65,76,79,76,63,81,80,78,80,83,81,74,81,82,79,76,80,67,77,82,74,83,84,92,77,80,10,13,6,6,11,15,"3-5-2"
Atletico Madrid,4,Johnny,Cardoso,United States,185,83,CDM,CM,6,Right,81,73,74,71,67,74,63,74,68,62,62,73,76,65,66,82,81,69,74,78,77,57,77,82,75,79,82,75,78,81,79,78,83,77,77,75,10,10,14,8,12,7,"3-5-2"
Atletico Madrid,6,Jorge,Resurreccion,Spain,176,75,CM,CDM,7,Right,81,61,62,60,71,76,69,82,75,57,67,82,83,85,77,83,81,84,79,68,80,81,77,81,84,74,80,61,78,79,70,77,72,83,75,78,11,14,12,5,10,13,"3-5-2"
Atletico Madrid,17,Thiago,Almada,Argentina,171,62,CAM,CM,8,Right,79,80,86,74,75,76,70,78,76,73,75,80,81,74,83,80,74,85,84,92,74,93,82,83,80,50,58,39,44,57,51,59,53,69,50,64,9,12,8,9,8,10,"3-5-2"
Atletico Madrid,16,Matteo,Ruggeri,Italy,187,79,LM,LB,9,Left,75,78,78,78,58,75,61,69,50,53,40,69,65,76,50,78,74,71,69,60,76,59,72,76,68,71,70,65,71,75,74,75,77,80,68,74,11,11,12,11,14,8,"3-5-2"
Atletico Madrid,9,Julian,Alvarez,Argentina,170,71,ST,,10,Right,87,86,86,85,85,88,88,88,86,84,78,81,83,77,80,83,78,87,87,87,88,87,87,88,86,58,52,78,60,55,46,82,86,85,72,86,9,6,10,8,15,6,"3-5-2"
Atletico Madrid,7,Antoine,Griezmann,France,176,67,ST,LM,11,Left,85,78,80,75,85,87,86,85,86,86,79,85,86,82,85,86,83,89,87,88,87,85,86,90,88,62,59,79,45,63,64,76,84,77,70,74,13,14,8,14,13,14,"3-5-2"
