Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,slot,BestFoot,Overall,pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,formation
AS Roma,21,Paulo,Dybala,Argentina,177,75,CAM,ST,8,Left,86,80,84,76,86,83,85,84,86,92,88,85,88,82,87,84,79,89,88,88,86,87,87,88,89,44,42,65,32,42,39,66,76,76,63,48,5,5,4,4,5,8,"4-3-3"
AS Roma,23,Gianluca,Mancini,Italy,190,77,CB,CB,3,Right,82,70,65,75,42,32,48,51,34,40,47,50,56,34,34,67,71,38,65,34,82,57,59,76,80,83,84,82,84,84,79,86,86,80,84,92,9,13,12,8,6,8,"4-3-3"
AS Roma,4,Bryan,Cristante,Italy,186,80,CM,CM,6,Right,81,55,53,56,74,76,68,83,78,72,68,75,80,70,66,82,86,68,72,62,80,54,76,80,82,77,76,76,80,78,74,84,80,93,83,78,4,3,5,3,3,5,"4-3-3"
AS Roma,7,Lorenzo,Pellegrini,Italy,186,77,RM,CM,7,Right,80,75,76,74,77,77,76,79,76,74,80,79,83,74,79,84,80,74,78,79,79,72,78,84,78,72,69,74,73,74,72,76,81,77,70,74,11,12,7,10,13,11,"4-3-3"
AS Roma,92,Stephan,El Shaarawy,Italy,178,73,LW,LW,11,Right,79,79,81,76,76,76,72,75,78,85,72,76,78,76,72,77,70,85,81,89,80,76,83,83,77,49,36,65,65,42,35,62,75,61,60,51,4,5,3,5,5,3,"4-3-3"
AS Roma,5,Evan,Ndicka,Ivory Coast,192,82,CB,CB,4,Left,81,74,69,78,52,68,49,65,54,43,33,62,64,68,30,78,74,59,68,50,81,55,69,75,80,80,80,79,81,85,76,83,85,83,81,81,9,13,8,7,8,8,"4-3-3"
AS Roma,11,Artem,Dovbyk,Ukraine,189,78,ST,,9,Left,83,83,80,86,82,85,86,89,78,67,84,65,72,48,58,79,69,63,77,72,80,66,79,79,83,39,25,85,32,28,23,81,91,77,80,74,11,13,13,5,12,10,"4-3-3"
AS Roma,19,Zeki,Celik,Turkey,180,78,RB,RM,2,Right,75,71,69,72,59,70,57,63,62,55,46,67,68,72,49,72,67,72,70,67,72,66,69,73,74,72,74,65,73,74,74,76,75,82,73,74,11,13,14,9,10,7,"4-3-3"
AS Roma,95,Pierluigi,Gollini,Italy,194,94,GK,GK,1,Right,74,47,46,48,23,12,14,53,17,18,21,24,40,17,15,31,25,13,47,56,70,52,18,24,63,18,18,19,20,12,19,49,67,40,68,19,75,74,72,71,74,76,"4-3-3"
AS Roma,21,Konstantinos,Tsimikas,Greece,179,77,LB,LM,5,Left,77,79,79,78,58,73,48,72,64,37,54,75,73,81,68,75,72,78,74,77,74,73,75,75,71,73,76,66,73,77,75,74,77,69,69,80,10,8,12,8,13,10,"4-3-3"
AS Roma,31,Leon,Bailey,Jamaica,178,77,RM,RW,10,Left,79,88,91,84,74,76,76,72,74,73,71,73,75,75,72,75,65,76,83,91,77,88,85,81,73,39,28,57,45,34,29,64,75,64,61,55,12,12,13,6,15,14,"4-3-3"
