Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,BestFoot,Overall,Pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
Bayern,6,Joshua,Kimmich,Germany,177,75,CDM,RB,Right,89,73,75,70,75,78,68,78,83,69,71,87,86,92,79,89,92,85,85,83,89,84,82,86,86,82,85,72,82,86,85,82,77,92,69,89,12,8,15,7,15,15
Bayern,9,Harry,Kane,England,188,86,ST,ST,Right,89,64,62,66,92,94,93,91,89,89,95,80,86,80,69,86,79,82,82,67,94,72,80,87,92,52,42,90,46,44,38,82,87,76,86,80,11,8,10,11,14,11
Bayern,42,Jamal,Musiala,Germany,184,72,CAM,LM,Right,88,80,85,75,79,88,86,80,82,75,61,76,84,70,59,87,79,75,90,94,89,93,94,85,83,66,65,75,64,66,61,68,80,73,61,59,8,6,9,8,8,11
Bayern,4,Jonathan,Tah,Germany,195,94,CB,,Right,87,62,53,71,41,36,32,60,26,53,38,51,57,39,27,78,68,37,64,49,85,40,60,70,79,86,84,87,88,89,84,85,85,76,91,86,10,11,8,7,9,14
Bayern,14,Luis,Diaz,Colombia,180,73,LM,LW,Right,85,88,88,88,79,84,83,85,75,81,63,73,79,76,58,77,72,77,85,88,83,79,89,87,82,47,38,71,41,47,38,79,83,87,69,75,13,10,13,13,14,14
Bayern,1,Manuel,Neuer,Germany,193,93,GK,GK,Right,84,32,29,35,28,12,13,68,16,11,49,39,68,15,11,60,67,14,52,51,83,35,30,44,67,19,30,25,17,10,11,56,71,43,80,29,85,81,81,90,86,81
Bayern,8,Leon,Goretzka,Germany,189,82,CM,CDM,Right,82,77,72,81,77,84,76,83,82,74,60,78,79,74,70,85,84,76,79,74,85,71,80,82,82,80,85,84,75,83,75,81,84,69,87,83,11,13,8,15,11,9
Bayern,7,Serge,Gnabry,Germany,176,77,RM,ST,Right,82,81,84,77,81,84,84,86,80,83,70,75,80,77,62,83,73,74,84,85,82,88,85,82,82,42,38,42,45,44,43,65,68,66,69,58,10,14,10,10,9,7
Bayern,2,Dayot,Upamecano,France,186,90,CB,,Right,82,81,76,85,44,47,39,64,42,33,39,54,58,48,28,77,76,36,72,66,81,65,72,75,74,81,79,81,79,84,82,84,85,77,87,88,9,6,7,8,15,9
Bayern,19,Alphonso,Davies,Canada,185,77,LB,LM,Left,82,96,96,95,65,77,64,74,63,59,54,72,77,83,44,82,71,72,83,85,83,83,85,84,78,72,78,69,69,73,73,78,86,80,75,72,9,11,11,6,5,14
Bayern,25,Thomas,Muller,Germany,185,76,CAM,ST,Right,82,57,54,60,81,92,84,78,79,84,70,79,87,85,59,84,79,81,79,67,91,69,78,82,89,57,58,79,47,57,46,70,73,77,66,62,10,6,7,11,14,14
Bayern,17,Michael,Olise,France,184,73,RM,RW,Left,82,81,82,79,75,79,79,76,76,68,70,81,84,82,77,83,79,81,84,91,77,86,84,83,81,51,55,36,52,58,53,60,56,68,46,68,10,9,11,9,10,10
Bayern,22,Raphael,Guerreiro,Portugal,170,71,LB,CM,Left,80,70,76,63,75,79,78,79,83,79,54,83,86,85,78,88,77,85,88,90,84,90,87,89,85,71,84,42,75,76,76,54,49,72,49,44,9,12,6,8,11,8
Bayern,45,Aleksandar,Pavlovic,Germany,188,75,CDM,CM,Right,79,63,69,56,62,62,66,64,65,66,50,77,77,73,66,85,85,73,77,72,80,70,77,83,79,75,74,71,79,74,77,71,78,77,72,57,9,6,9,15,9,7
Bayern,21,Hiroki,Ito,Japan,188,84,CB,LB,Left,78,74,74,74,56,56,48,78,64,45,47,65,66,68,45,77,80,52,73,66,82,67,69,77,76,79,81,74,83,78,77,73,84,59,77,72,11,13,10,10,10,10
Bayern,44,Josip,Stanisic,Croatia,187,77,CB,RB,Right,78,73,68,77,42,53,44,52,37,29,37,59,58,72,23,74,60,67,69,66,76,64,68,73,66,79,78,77,80,79,81,76,82,71,75,75,10,11,6,10,9,12
Bayern,23,Sacha,Boey,France,178,76,RB,RB,Right,77,72,78,65,56,68,44,69,66,38,49,62,58,69,45,73,67,60,76,79,77,78,74,75,74,75,79,63,75,79,78,78,79,74,75,84,10,10,11,13,10,6
Bayern,0,Tom,Bischof,Germany,176,66,CM,CDM,Left,76,59,65,52,64,61,64,72,77,52,57,78,78,77,76,82,78,75,80,81,78,85,78,80,77,57,58,40,58,68,61,61,49,81,49,65,11,9,13,12,13,6
Bayern,6,Sven,Ulreich,Germany,192,87,GK,,Right,73,41,41,40,19,8,12,47,11,13,22,25,42,14,15,34,30,12,38,36,73,39,13,22,45,14,14,8,16,18,14,44,60,29,63,25,72,74,69,62,73,76
