Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,BestFoot,Overall,Pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
Chelsea,10,Cole,Palmer,England,185,76,CAM,RM,Left,87,76,76,75,83,87,82,85,85,70,90,86,89,85,81,87,86,86,85,80,88,78,87,89,89,50,50,60,50,50,40,67,71,83,60,55,10,7,6,10,14,14
Chelsea,25,Moises,Caicedo,Ecuador,178,73,CDM,CM,Right,82,75,77,73,62,62,57,71,71,55,55,70,77,58,55,84,82,65,79,76,80,79,76,82,80,77,82,60,80,82,80,79,76,84,72,84,11,15,6,13,9,13
Chelsea,24,Reece,James,England,179,91,RB,,Right,82,78,76,79,72,77,67,85,70,67,65,82,82,88,75,83,80,83,82,72,81,88,83,84,83,80,80,74,83,84,80,82,88,67,88,83,10,8,12,7,13,11
Chelsea,3,Marc,Cucurella Saseta,Spain,173,67,LB,,Left,82,76,78,73,62,76,55,70,60,55,57,77,77,81,63,83,79,79,81,82,81,83,79,82,78,77,78,68,78,81,78,78,76,88,67,81,10,13,7,9,10,11
Chelsea,8,Enzo,Fernandez,Argentina,178,78,CM,CDM,Right,82,69,70,68,75,76,67,82,76,75,72,81,85,68,76,87,89,82,80,75,80,77,79,84,82,72,75,62,73,75,73,78,74,82,73,82,8,8,6,7,8,10
Chelsea,19,Jadon,Sancho,England,180,76,LM,RM,Right,82,80,83,76,71,79,75,60,59,78,74,76,84,75,62,84,65,83,87,90,81,90,91,87,83,32,31,38,34,30,25,51,57,75,47,25,10,7,11,10,11,13
Chelsea,17,Andrey,N. dos Santos,Brazil,180,75,CM,CDM,Right,80,74,77,71,66,77,69,73,72,53,54,69,79,56,52,82,79,68,77,77,79,69,77,80,80,78,78,81,69,81,81,83,88,91,75,78,10,5,10,15,12,8
Chelsea,27,Malo,Gusto,France,178,74,RB,RM,Right,79,84,87,81,52,75,30,65,50,45,45,72,74,79,50,76,74,76,78,84,76,77,77,77,76,71,76,53,75,76,75,76,74,85,68,76,10,10,6,14,8,11
Chelsea,23,Trevoh,Chalobah,England,192,75,CB,RB,Right,79,66,64,68,53,50,46,65,62,47,45,65,67,62,44,77,75,65,69,52,78,60,70,74,78,79,81,77,80,80,78,78,84,67,83,76,7,5,5,9,9,7
Chelsea,20,Joao,Pedro Junqueira de Jesus,Brazil,188,82,ST,CAM,Right,79,78,79,77,78,80,79,80,71,74,86,69,75,66,54,78,69,73,79,76,79,77,83,81,78,41,38,77,39,27,23,73,84,75,70,61,9,7,6,10,8,14
Chelsea,29,Wesley,Fofana,France,185,84,CB,,Right,79,74,69,78,42,40,38,48,38,40,46,57,60,42,44,75,69,50,70,65,77,60,71,72,76,80,81,77,79,81,80,77,78,67,81,83,11,14,12,9,14,6
Chelsea,45,Romeo,Lavia,Belgium,181,76,CDM,CM,Right,78,70,71,68,53,60,43,63,60,43,50,69,75,62,50,79,76,70,77,76,77,77,77,78,78,76,78,70,78,78,77,75,80,65,77,79,9,7,7,5,11,13
Chelsea,21,Jorrel,Hato,Netherlands,182,76,LB,CB,Left,78,86,87,84,43,61,39,55,30,36,34,63,67,66,31,79,74,59,77,76,79,78,70,78,78,74,77,69,74,77,73,76,91,69,73,72,8,8,5,5,13,9
Chelsea,41,Estevao,Willian Almeida,Brazil,176,70,RM,CAM,Left,78,90,91,89,73,75,73,79,75,66,68,73,75,77,71,73,66,78,83,91,74,93,82,79,80,35,34,52,28,34,27,61,66,67,49,62,11,9,15,13,6,11
Chelsea,9,Liam,Delap,England,186,90,ST,,Right,78,79,76,81,79,79,80,85,74,78,77,59,59,55,52,69,50,68,74,70,77,63,78,78,77,34,22,73,29,25,23,81,88,70,84,83,10,8,9,10,11,10
Chelsea,7,Raheem,Sterling,England,172,69,LW,LM,Right,78,82,86,78,73,77,75,77,72,65,70,75,74,75,78,75,68,79,83,91,76,92,82,79,76,42,38,48,38,48,40,52,59,52,44,52,13,15,12,12,15,9
Chelsea,11,Jamie,Bynoe-Gittens,England,179,77,LM,LW,Right,78,92,94,90,70,77,75,79,68,65,53,63,64,69,44,71,57,72,82,90,77,87,87,80,73,30,29,42,26,22,30,60,64,79,54,43,8,6,5,12,7,8
Chelsea,4,Tosin,Adarabioyo,England,197,80,CB,,Right,78,70,63,76,43,35,40,60,54,30,37,57,60,43,33,77,73,53,61,42,76,35,62,75,77,78,77,76,78,80,77,79,84,68,84,78,11,14,11,11,8,9
Chelsea,1,Robert,Lynch Sanchez,Spain,197,90,GK,GK,Right,78,60,55,65,20,12,12,56,12,12,17,33,55,13,13,52,50,13,46,45,74,35,20,45,55,16,15,15,20,17,15,57,75,40,77,35,78,79,77,75,77,79
Chelsea,12,Filip,Jorgensen,Denmark,192,85,GK,GK,Right,77,45,45,45,18,10,11,54,10,10,11,29,50,10,11,45,47,12,47,55,74,40,18,40,55,14,13,12,17,13,13,46,63,35,62,25,77,77,76,72,77,78
Chelsea,49,Alejandro,Garnacho Ferreyra,Argentina,180,72,CAM,LW,Right,77,86,88,84,75,78,77,78,79,79,56,71,73,75,61,74,66,75,80,87,77,88,80,79,71,37,40,44,36,37,29,62,59,77,45,66,11,6,15,14,13,7
Chelsea,2,Axel,Disasi,France,190,86,CB,RB,Right,77,55,50,60,48,47,43,70,40,45,43,53,55,48,30,72,66,48,59,43,75,40,55,66,74,77,76,80,76,77,75,78,83,63,88,76,9,12,8,11,8,6
Chelsea,14,Dario,Cassia Luis Essugo,Portugal,178,79,CDM,CM,Right,75,76,72,80,59,72,49,69,68,41,52,59,70,46,47,74,70,47,74,77,73,79,74,71,68,72,75,62,75,76,74,80,80,76,83,81,8,9,9,6,6,8
Chelsea,40,Facundo,Buonanotte,Argentina,174,66,RM,CAM,Left,75,76,77,74,65,74,74,72,64,52,55,71,75,70,62,76,71,72,77,78,75,81,74,77,77,32,25,50,28,30,25,55,63,69,52,35,9,8,9,7,14,9
Chelsea,31,Cesare,Casadei,Italy,186,77,CM,CAM,Right,71,67,67,66,69,72,68,73,70,65,65,68,71,63,65,73,72,66,69,66,70,65,70,72,70,66,64,72,64,72,79,70,72,65,10,10,7,10,7,15
Chelsea,38,Marc,Guiu Paz,Spain,187,82,ST,,Right,71,76,73,78,68,70,73,75,63,63,65,52,55,45,45,65,45,57,68,67,70,65,68,70,70,39,29,70,36,31,27,76,81,66,76,82,9,5,6,9,14,10
