Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,BestFoot,Overall,Pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
Borussia Dortmund,9,Serhou,Guirassy,Guinea,187,82,ST,ST,Right,87,73,74,71,87,90,90,91,82,87,83,74,79,65,67,83,72,76,83,76,86,77,83,86,88,49,33,88,42,44,36,84,90,84,85,76,10,11,8,12,12,8
Borussia Dortmund,1,Gregor,Kobel,Switzerland,195,88,GK,GK,Right,86,45,38,52,17,10,10,48,10,10,12,28,59,13,12,39,33,13,46,37,84,29,24,34,66,14,14,13,15,15,15,52,71,30,81,24,84,87,83,64,86,87
Borussia Dortmund,4,Nico,Schlotterbeck,Germany,191,86,CB,CB,Left,85,75,77,72,59,58,51,81,67,56,38,71,72,70,55,78,86,67,73,68,84,64,74,71,78,85,83,84,85,87,87,84,91,74,85,84,11,8,10,8,14,13
Borussia Dortmund,10,Julian,Brandt,Germany,185,83,CAM,CM,Right,83,73,67,79,76,82,77,82,78,81,55,82,86,78,78,85,83,82,84,83,82,82,84,85,85,45,56,54,49,29,39,68,69,85,72,44,11,11,16,11,8,9
Borussia Dortmund,23,Emre,Can,Germany,186,86,CDM,CB,Right,82,77,67,86,78,72,74,85,80,73,81,72,74,64,64,81,74,77,76,69,79,74,75,78,83,82,80,82,79,85,85,86,88,80,86,91,11,14,8,8,13,11
Borussia Dortmund,8,Felix,Nmecha,Germany,194,80,CDM,CM,Right,82,82,77,86,71,76,73,81,73,66,55,70,77,59,49,80,80,72,80,77,80,76,83,82,79,81,79,83,78,83,80,86,94,78,90,82,10,6,10,12,13,8
Borussia Dortmund,3,Waldemar,Anton,Germany,189,86,CB,RB,Right,81,68,61,75,47,52,42,58,45,38,48,56,67,43,39,80,72,37,69,62,81,58,63,70,80,80,79,78,85,81,78,83,84,79,85,83,12,11,12,12,13,13
Borussia Dortmund,25,Niklas,Süle,Germany,195,99,CB,RB,Right,81,60,45,74,52,42,36,78,64,59,32,61,66,54,40,78,82,43,64,34,81,44,69,72,84,81,82,75,81,82,83,74,72,52,93,79,12,15,7,14,7,15
Borussia Dortmund,20,Marcel,Sabitzer,Austria,178,76,CDM,CM,Right,80,74,76,72,81,78,76,87,83,83,80,79,79,77,78,82,80,77,80,77,83,78,78,82,83,75,80,62,79,75,77,76,71,78,75,79,13,11,13,14,15,13
Borussia Dortmund,27,Karim,Adeyemi,Germany,180,77,LM,RM,Left,79,96,96,96,73,77,73,76,72,71,70,69,71,70,62,74,67,67,80,86,77,82,82,79,76,39,31,70,25,34,35,74,90,80,67,59,10,12,12,7,12,7
Borussia Dortmund,5,Ramy,Bensebaini,Algeria,187,82,LB,CB,Left,79,73,72,73,69,66,72,70,65,57,85,68,63,73,62,76,68,67,74,67,75,67,78,82,74,79,74,82,73,80,87,81,88,77,78,82,11,6,13,14,7,14
