Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,slot,BestFoot,Overall,pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,formation
Bayer Leverkusen,1,Mark,Flekken,Netherlands,195,87,GK,GK,1,Right,78,33,29,36,23,14,16,60,11,14,23,34,51,14,12,54,56,19,42,34,74,38,12,34,62,14,12,11,15,13,20,49,63,28,72,32,79,79,76,80,76,80,"3-4-3"
Bayer Leverkusen,12,Edmond,Tapsoba,Burkina Faso,192,84,CB,CB,2,Right,81,75,73,76,53,34,56,86,33,33,77,61,74,39,32,83,82,54,72,66,81,64,66,74,78,82,85,84,82,81,79,80,84,74,83,77,10,5,10,13,7,15,"3-4-3"
Bayer Leverkusen,5,Loic,Bade,France,191,89,CB,CB,3,Right,78,60,54,66,40,33,45,59,44,24,33,47,57,31,23,74,63,35,63,56,75,37,63,75,73,78,78,76,77,81,77,77,81,65,84,78,8,7,6,14,7,7,"3-4-3"
Bayer Leverkusen,13,Jarell,Quansah,England,190,80,CB,CB,4,Right,75,70,66,73,38,36,26,54,28,41,45,54,54,38,37,71,74,48,66,53,71,56,69,71,76,74,73,74,75,74,76,75,82,64,79,75,9,9,6,11,9,9,"3-4-3"
Bayer Leverkusen,19,Nathan,Tella,Nigeria,173,68,RM,ST,5,Right,78,83,85,81,72,78,77,80,70,73,52,66,74,74,45,74,65,64,78,85,66,84,82,79,73,45,41,58,55,41,30,63,69,78,52,54,8,9,6,8,12,6,"3-4-3"
Bayer Leverkusen,25,Exequiel,Palacios,Argentina,178,69,CM,CDM,6,Right,84,63,72,53,75,79,74,81,79,63,72,75,83,70,54,86,84,73,82,78,85,79,82,84,83,79,86,67,80,84,80,73,74,68,67,84,8,10,5,8,9,6,"3-4-3"
Bayer Leverkusen,34,Robert,Andrich,Germany,186,85,CDM,CM,7,Right,81,58,59,56,74,68,74,84,85,70,62,76,73,71,76,79,78,80,72,63,82,59,74,76,75,81,85,74,85,83,77,81,80,67,84,91,11,7,9,10,13,15,"3-4-3"
Bayer Leverkusen,20,Alejandro,Grimaldo,Spain,171,68,LM,LB,8,Left,84,72,76,68,72,78,67,84,83,63,54,88,85,91,89,86,86,89,85,84,85,86,84,86,83,72,79,62,76,75,69,71,68,91,54,69,10,7,13,10,7,13,"3-4-3"
Bayer Leverkusen,11,Martin,Terrier,France,184,71,ST,LM,9,Right,79,78,81,75,78,78,80,79,79,79,73,73,77,73,58,78,72,77,77,72,77,73,81,82,79,40,27,75,34,31,34,72,85,73,74,57,9,12,5,13,5,8,"3-4-3"
Bayer Leverkusen,14,Patrik,Schick,Czechia,188,87,ST,ST,10,Right,82,75,73,76,82,83,84,86,82,81,80,69,77,63,68,78,72,72,76,70,79,66,76,80,76,43,36,83,42,39,35,79,89,75,86,71,10,8,11,11,9,12,"3-4-3"
Bayer Leverkusen,24,Aleix,Garcia,Spain,173,68,CM,CDM,11,Right,83,66,67,64,73,80,75,78,78,66,60,84,86,83,80,85,88,84,84,79,82,85,84,87,84,72,77,51,79,77,74,66,65,68,65,65,10,16,8,9,10,7,"3-4-3"
