Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,slot,BestFoot,Overall,pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,formation
Tottenham Hotspur,7,Xavi,Simons,Netherlands,179,58,CAM,LM,10,Right,84,78,83,72,73,79,79,78,81,62,61,78,85,74,65,84,90,85,87,87,86,87,87,88,86,61,65,60,60,62,56,72,68,82,62,76,9,9,11,5,8,10,"4-2-3-1"
Tottenham Hotspur,14,Mohammed,Kudus,Ghana,177,70,RW,LW,7,Left,80,90,91,88,75,77,76,81,74,76,64,75,75,70,49,76,74,86,77,92,88,83,80,83,77,57,59,55,60,66,46,73,74,73,76,68,8,6,12,7,7,10,"4-2-3-1"
Tottenham Hotspur,9,Andrade,Richarlison,Brazil,184,71,ST,LW,9,Right,78,76,77,75,78,79,78,83,72,78,77,71,74,73,65,76,72,75,79,72,76,79,79,79,76,55,46,82,43,58,48,79,89,68,74,84,10,12,7,8,11,13,"4-2-3-1"
Tottenham Hotspur,6,Jao,Palhinha,Portugal,190,83,CDM,CM,6,Right,83,56,54,58,66,69,66,81,67,55,57,66,71,60,45,77,78,51,79,50,75,76,84,85,81,83,86,85,85,83,83,79,86,86,81,79,9,14,10,8,7,7,"4-2-3-1"
Tottenham Hotspur,30,Rodrigo,Bentancur,Uruguay,187,73,CM,CDM,8,Right,81,67,68,66,69,73,68,71,65,71,67,77,82,76,68,84,80,68,79,76,84,85,86,77,81,77,65,79,82,78,76,74,81,72,78,74,11,8,7,14,14,12,"4-2-3-1"
Tottenham Hotspur,37,Micky,van de Ven,Netherlands,193,86,CB,CB,4,Left,82,87,81,93,47,48,43,48,57,47,39,56,55,58,34,77,74,37,70,59,80,49,72,75,82,83,75,83,84,83,82,89,82,74,84,79,10,7,13,13,11,7,"4-2-3-1"
Tottenham Hotspur,25,Djed,Spence,England,184,71,RB,LB,2,Right,78,88,87,88,46,75,38,54,45,27,37,64,72,76,28,77,65,78,75,82,78,78,73,72,69,75,73,83,76,72,65,73,83,76,72,65,9,13,8,7,11,6,"4-2-3-1"
Tottenham Hotspur,6,Ben,Davies,Wales,181,76,CB,CB,5,Left,75,54,54,53,56,60,58,65,52,48,54,68,64,71,48,76,74,61,78,66,74,70,74,77,73,77,78,77,78,69,72,54,70,79,54,70,79,9,11,7,6,7,14,"4-2-3-1"
Tottenham Hotspur,1,Antonin,Kinsky,Czechia,190,80,GK,GK,1,Right,75,26,25,26,16,6,6,57,6,8,15,29,47,13,14,40,45,13,42,39,68,25,18,30,70,11,11,14,9,10,11,40,57,20,60,24,73,76,76,76,74,75,"4-2-3-1"
Tottenham Hotspur,17,Lucas,Bergvall,Sweden,186,74,RW,CDM,11,Right,77,75,77,73,61,73,63,66,61,49,53,74,78,68,65,79,73,76,73,78,77,80,69,77,77,54,69,75,72,74,72,78,70,75,78,70,75,10,7,13,13,10,9,"4-2-3-1"
Tottenham Hotspur,13,Kevin,Danso,Austria,190,85,CB,CB,3,Right,79,72,65,79,36,43,26,49,25,31,42,51,52,44,31,69,62,46,63,53,77,46,59,68,72,78,77,81,77,80,76,83,89,66,90,85,11,12,13,6,11,15,"4-2-3-1"
