Team,ShirtNumber,FirstName,LastName,Name,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,BestFoot,Overall,Pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
Liverpool,11,Mohamed,Salah,Mohamed Salah,Egypt,175,72,RM,RW,Left,91,89,88,89,87,93,94,83,78,83,88,84,89,86,69,88,81,88,91,86,94,91,90,90,93,47,55,59,38,43,41,76,79,88,75,63,12,14,14,9,11,14
Liverpool,4,Virgil,van Dijk,Virgil van Dijk,Netherlands,193,92,CB,,Right,90,72,66,78,59,47,52,81,64,45,62,69,70,53,70,80,83,60,72,54,90,50,70,77,90,90,91,88,91,91,87,86,89,75,93,85,12,13,10,13,11,11
Liverpool,1,Alisson,Ramses Becker,Alisson Ramses Becker,Brazil,193,91,GK,,Right,89,55,60,49,25,13,13,65,14,20,23,40,66,17,18,60,58,19,50,40,87,37,27,42,66,18,11,29,15,19,16,55,82,32,78,27,87,86,85,86,90,89
Liverpool,7,Florian,Wirtz,Florian Wirtz,Germany,177,71,CAM,ST,Right,89,81,82,79,80,85,84,78,84,81,66,86,91,87,74,91,87,83,89,88,88,87,90,92,86,51,55,43,64,49,44,69,65,87,59,63,11,14,14,13,6,10
Liverpool,9,Alexander,Isak,Alexander Isak,Sweden,192,77,ST,,Right,88,83,86,80,87,89,91,91,83,81,86,71,80,68,64,79,60,75,82,73,87,69,88,87,88,44,38,82,35,34,29,77,90,82,79,58,8,7,6,9,7,11
Liverpool,10,Alexis,Mac Allister,Alexis Mac Allister,Argentina,176,72,CM,CDM,Right,87,66,68,64,82,78,79,88,85,77,86,84,86,79,82,88,87,83,86,82,89,86,84,86,86,76,80,65,78,83,74,78,72,87,69,83,11,7,10,14,15,10
Liverpool,5,Ibrahima,Konate,Ibrahima Konate,France,194,95,CB,,Right,86,76,69,83,36,44,29,45,31,28,41,56,64,38,27,79,76,50,68,55,85,44,68,76,80,85,83,84,87,87,86,83,83,75,91,84,10,9,7,9,9,15
Liverpool,38,Ryan,Gravenberch,Ryan Gravenberch,Netherlands,190,77,CDM,CM,Right,85,76,76,76,73,75,78,79,76,71,58,78,81,74,70,86,82,76,82,76,84,70,88,87,88,79,88,67,80,82,78,81,81,85,80,76,10,12,8,6,11,12
Liverpool,25,Giorgi,Mamardashvili,Giorgi Mamardashvili,Georgia,199,88,GK,,Left,84,48,48,48,16,8,9,54,7,7,11,18,34,13,10,20,20,11,33,40,74,26,11,22,26,10,8,14,5,12,10,54,71,45,74,25,82,84,81,72,84,84
Liverpool,18,Cody,Gakpo,Cody Gakpo,Netherlands,189,76,LM,LW,Right,84,84,85,82,80,83,81,88,83,78,68,80,81,83,76,81,75,82,80,75,83,67,86,85,83,49,45,81,42,48,31,76,89,76,75,63,9,15,11,7,9,5
Liverpool,8,Dominik,Szoboszlai,Dominik Szoboszlai,Hungary,186,74,CAM,CM,Right,83,79,76,81,82,83,79,89,79,81,83,84,83,83,83,85,83,87,80,78,83,68,83,84,82,66,67,65,65,72,63,77,76,89,69,75,10,10,10,13,10,6
Liverpool,30,Jeremie,Frimpong,Jeremie Frimpong,Netherlands,172,65,RB,RM,Right,83,94,95,93,61,82,66,62,53,58,43,70,73,82,47,78,63,77,84,89,84,88,85,83,76,71,77,54,74,71,79,69,68,85,47,75,11,12,7,8,13,14
Liverpool,22,Hugo,Ekitike,Hugo Ekitike,France,189,70,ST,CAM,Right,83,86,85,87,77,86,79,82,75,77,62,65,79,51,51,82,57,69,81,80,83,74,87,86,78,36,23,77,28,35,19,76,85,86,69,65,9,8,8,7,10,12
Liverpool,14,Federico,Chiesa,Federico Chiesa,Italy,175,70,RM,LM,Right,81,88,88,87,77,81,80,84,79,78,62,74,77,75,62,77,74,78,83,89,80,84,84,81,80,45,46,53,42,44,39,70,74,63,67,74,7,6,7,8,9,7
Liverpool,17,Curtis,Jones,Curtis Jones,England,185,75,CAM,CM,Right,80,74,68,79,72,79,75,77,73,69,60,72,79,67,51,83,79,75,79,74,80,73,84,82,82,69,71,55,72,77,71,76,71,83,74,74,9,6,13,7,11,7
Liverpool,3,Wataru,Endo,Wataru Endo,Japan,178,77,CDM,CM,Right,79,59,66,52,64,68,67,76,73,36,62,64,75,58,49,79,78,45,77,72,77,81,76,78,79,78,78,79,80,79,73,78,85,77,67,82,9,9,13,7,11,5
Liverpool,2,Joe,Gomez,Joe Gomez,England,188,77,CB,RB,Right,79,74,72,76,35,56,20,51,22,34,26,62,65,73,29,77,75,55,71,61,78,64,71,75,75,79,79,76,79,81,78,74,85,57,78,77,10,8,13,14,7,7
Liverpool,12,Conor,Bradley,Conor Bradley,Northern Ireland,181,75,RB,RM,Right,78,80,80,80,59,74,62,68,56,55,40,63,69,77,34,74,65,60,73,72,76,67,75,77,68,73,75,65,75,77,75,77,76,84,65,84,10,15,9,10,5,10
Liverpool,43,Stefan,Bajcetic Maquieira,Stefan Bajcetic Maquieira,Spain,185,77,CDM,CM,Right,73,73,67,79,52,52,50,57,53,50,48,63,70,55,49,74,71,59,70,69,69,62,74,74,73,69,74,54,72,73,73,70,68,68,72,72,10,6,12,11,13,8
Liverpool,28,Freddie,Woodman,Freddie Woodman,England,188,83,GK,,Right,71,48,45,50,21,12,16,47,14,16,20,28,45,14,13,40,38,15,42,47,70,39,17,23,54,19,26,20,10,21,20,43,56,34,46,34,69,72,69,62,68,71
Liverpool,15,Giovanni,Leoni,Giovanni Leoni,Italy,193,79,CB,,Right,69,53,51,54,27,25,25,40,22,22,27,35,34,22,25,61,45,21,54,48,65,40,45,60,65,70,70,67,72,72,70,68,67,65,70,68,11,10,9,14,6,14
