Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,slot,BestFoot,Overall,pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,formation
Manchester United,1,Andre,Onana,Cameroon,190,93,GK,GK,1,Right,80,61,62,60,24,11,12,64,17,13,27,41,68,15,17,57,58,30,54,66,76,53,26,40,65,16,15,20,12,18,14,59,79,40,78,38,82,81,75,85,77,83,"4-4-2"
Manchester United,2,Diogo,Dalot,Portugal,183,76,RB,LB,2,Right,82,85,84,86,63,78,54,82,71,44,47,74,78,79,52,79,74,81,78,76,80,71,81,81,76,79,79,77,76,80,82,82,88,83,75,81,8,10,6,10,6,8,"4-4-2"
Manchester United,5,Harry,Maguire,England,193,100,CB,CB,3,Right,80,37,37,37,60,61,48,82,50,49,68,66,69,51,46,79,82,67,61,33,78,33,68,71,81,79,82,84,80,80,70,80,81,66,89,84,12,14,16,9,14,9,"4-4-2"
Manchester United,6,Lisandro,Martinez,Argentina,178,77,CB,CB,4,Left,81,68,70,65,60,62,52,73,64,56,55,72,76,72,55,79,76,74,76,69,80,75,74,77,79,81,84,75,81,81,84,83,88,73,77,92,11,6,14,13,14,8,"4-4-2"
Manchester United,3,Luke,Shaw,England,181,75,CB,LB,5,Left,79,69,69,69,59,71,46,80,56,65,38,77,77,82,67,79,77,81,73,60,78,73,75,78,76,78,79,76,79,79,78,74,83,51,77,85,10,10,12,13,7,7,"4-4-2"
Manchester United,16,Amad,Diallo,Ivory Coast,173,67,CAM,RW,6,Left,79,85,88,82,70,78,77,78,69,54,63,73,77,75,60,76,71,77,83,92,77,89,83,80,78,54,59,53,51,57,49,56,65,70,45,42,11,13,15,8,11,6,"4-4-2"
Manchester United,19,Kobbie,Mainoo,England,181,80,CM,CDM,7,Right,77,68,70,66,66,74,73,69,62,58,58,72,76,65,55,79,78,76,82,80,78,88,82,80,82,72,74,64,70,77,75,74,74,74,73,74,10,14,11,10,5,9,"4-4-2"
Manchester United,25,Manuel,Ugarte,Uruguay,182,77,CDM,CM,8,Right,79,62,62,62,62,70,65,67,65,45,62,70,73,62,58,77,79,70,75,68,78,72,77,76,79,75,83,55,77,81,78,75,69,70,74,87,11,6,10,16,8,13,"4-4-2"
Manchester United,7,Mason,Mount,England,181,74,CAM,CM,9,Right,77,67,68,66,75,77,75,79,77,75,69,80,78,80,82,79,79,82,77,72,77,72,79,80,79,60,63,55,58,69,56,63,63,60,56,73,11,11,12,13,8,12,"4-4-2"
Manchester United,8,Bruno,Fernandes,Portugal,179,69,CAM,CM,10,Right,87,67,68,66,86,86,80,86,85,87,91,88,92,85,85,90,90,85,83,78,90,73,82,87,85,65,63,63,62,71,66,77,69,95,61,84,13,12,14,15,8,14,"4-4-2"
Manchester United,9,Joshua,Zirkzee,Netherlands,193,89,ST,CAM,11,Right,77,71,74,68,76,78,77,76,75,75,77,70,79,58,66,78,72,68,77,76,74,61,85,85,79,44,40,71,40,36,35,75,86,69,84,60,10,6,11,12,8,14,"4-4-2"
