Team,ShirtNumber,FirstName,LastName,Nationality,Height_cm,Weight_kg,PrimaryPosition,AltPositions,slot,BestFoot,Overall,pace,Acceleration,SprintSpeed,Shooting,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,Passing,Vision,Crossing,FreeKickAccuracy,ShortPassing,LongPassing,Curve,Dribbling,Agility,Reactions,Balance,DribblingAttr,BallControl,Composure,Defending,Interceptions,HeadingAccuracy,DefensiveAwareness,StandingTackle,SlidingTackle,Physicality,Jumping,Stamina,Strength,Aggression,Goalkeeping,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,formation
Wolverhampton Wanderers,1,Jose,Sa,Portugal,192,84,GK,GK,1,Right,77,53,52,53,22,17,15,53,18,17,11,32,50,18,21,48,42,12,43,62,75,40,17,19,45,16,18,14,14,19,15,54,72,34,75,35,77,77,75,70,76,77,"5-3-2"
Wolverhampton Wanderers,3,Emmanuel,Agbadou,Ivory Coast,192,86,CB,CB,5,Right,79,79,69,89,46,55,51,61,33,28,46,57,63,48,30,73,77,49,64,51,79,40,69,66,78,78,77,78,79,79,76,83,89,68,90,84,10,9,7,12,9,14,"5-3-2"
Wolverhampton Wanderers,5,Ladislav,Krejci,Czechia,191,87,CB,CDM,3,Left,78,72,68,75,70,73,62,78,68,65,76,64,70,56,54,75,74,55,69,55,75,65,69,72,75,77,77,82,75,76,74,85,89,79,85,88,8,9,5,6,14,6,"5-3-2"
Wolverhampton Wanderers,15,Toti,Gomes,Portugal,187,72,CB,CB,4,Left,75,77,75,79,49,58,42,55,49,42,45,60,65,64,48,69,68,48,67,64,75,61,64,67,72,75,76,70,75,77,75,76,83,67,81,74,9,11,6,12,5,10,"5-3-2"
Wolverhampton Wanderers,16,Jackson,Tchatchoua,Cameroon,186,76,RB,RM,2,Right,74,89,87,91,60,70,56,67,59,51,55,59,54,75,42,67,57,61,71,74,65,74,76,73,64,66,64,65,64,70,69,80,83,88,73,75,10,8,13,10,12,6,"5-3-2"
Wolverhampton Wanderers,8,Joao,Gomes,Brazil,176,74,CDM,CM,9,Right,78,54,56,52,67,68,65,75,69,55,69,69,73,64,63,78,77,60,76,74,75,82,73,77,72,76,79,70,74,81,77,75,69,78,68,84,12,7,14,10,14,13,"5-3-2"
Wolverhampton Wanderers,11,Marshall,Munetsi,Zimbabwe,188,83,CM,CAM,7,Right,76,67,63,70,65,75,68,77,73,54,43,66,75,59,48,77,76,61,68,54,76,55,75,76,74,74,75,78,72,75,70,80,83,89,77,69,10,13,10,7,8,11,"5-3-2"
Wolverhampton Wanderers,8,Andre,Trindade,Brazil,177,77,CDM,CM,8,Right,78,59,62,55,59,65,53,69,61,53,54,71,74,66,52,78,80,74,77,74,76,79,77,77,78,73,79,58,73,78,79,73,67,76,67,82,8,5,5,9,14,7,"5-3-2"
Wolverhampton Wanderers,2,Rayan,Ait-Nouri,Algeria,180,70,LB,LM,6,Left,79,85,85,84,54,72,50,61,48,48,42,71,70,75,58,76,72,72,79,81,78,77,84,82,74,72,74,63,73,76,75,73,77,79,65,69,12,15,11,8,14,12,"5-3-2"
Wolverhampton Wanderers,12,Matheus,Cunha,Brazil,183,76,ST,CAM,10,Right,79,84,82,86,77,78,78,82,75,75,76,74,77,76,64,79,72,77,81,83,79,74,84,83,80,47,42,68,43,41,39,77,81,80,73,72,10,8,7,13,13,11,"5-3-2"
Wolverhampton Wanderers,4,Toluwalase,Arokodare,Nigeria,197,97,ST,ST,11,Right,79,75,71,79,76,76,85,79,75,72,66,54,52,35,55,75,52,57,61,41,72,36,75,79,65,35,18,78,22,35,21,79,91,71,91,64,10,9,8,12,14,9,"5-3-2"
